Qwen/Qwen3-14B	Qwen/Qwen3-14B
Qwen/Qwen3-14B	deepseek-ai/DeepSeek-R1-Distill-Llama-8B
Qwen/Qwen3-14B	deepseek-ai/DeepSeek-R1-Distill-Qwen-14B
Qwen/Qwen3-14B	openai/gpt-oss-20b
Qwen/Qwen3-32B	Qwen/Qwen3-32B
Qwen/Qwen3-32B	allenai/Olmo-3.1-32B-Think
Qwen/Qwen3-32B	deepseek-ai/DeepSeek-R1-Distill-Qwen-32B
Qwen/Qwen3-32B	microsoft/Phi-4-reasoning-plus
Qwen/Qwen3-8B	Qwen/Qwen3-32B
Qwen/Qwen3-8B	Qwen/Qwen3-8B
Qwen/Qwen3-8B	deepseek-ai/DeepSeek-R1-Distill-Llama-8B
Qwen/Qwen3-8B	microsoft/Phi-4-reasoning
allenai/Olmo-3.1-32B-Think	Qwen/Qwen3-14B
allenai/Olmo-3.1-32B-Think	Qwen/Qwen3-32B
allenai/Olmo-3.1-32B-Think	allenai/Olmo-3.1-32B-Think
allenai/Olmo-3.1-32B-Think	nvidia/Llama-3.1-Nemotron-Nano-8B-v1
deepseek-ai/DeepSeek-R1-Distill-Llama-8B	allenai/Olmo-3.1-32B-Think
deepseek-ai/DeepSeek-R1-Distill-Llama-8B	deepseek-ai/DeepSeek-R1-Distill-Llama-8B
deepseek-ai/DeepSeek-R1-Distill-Llama-8B	microsoft/Phi-4-reasoning
deepseek-ai/DeepSeek-R1-Distill-Llama-8B	mistralai/Magistral-Small-2506
deepseek-ai/DeepSeek-R1-Distill-Qwen-14B	deepseek-ai/DeepSeek-R1-Distill-Qwen-14B
deepseek-ai/DeepSeek-R1-Distill-Qwen-14B	deepseek-ai/DeepSeek-R1-Distill-Qwen-32B
deepseek-ai/DeepSeek-R1-Distill-Qwen-14B	microsoft/Phi-4-reasoning-plus
deepseek-ai/DeepSeek-R1-Distill-Qwen-14B	mistralai/Magistral-Small-2506
deepseek-ai/DeepSeek-R1-Distill-Qwen-32B	Qwen/Qwen3-14B
deepseek-ai/DeepSeek-R1-Distill-Qwen-32B	Qwen/Qwen3-8B
deepseek-ai/DeepSeek-R1-Distill-Qwen-32B	deepseek-ai/DeepSeek-R1-Distill-Qwen-32B
deepseek-ai/DeepSeek-R1-Distill-Qwen-32B	openai/gpt-oss-20b
microsoft/Phi-4-reasoning	deepseek-ai/DeepSeek-R1-Distill-Qwen-32B
microsoft/Phi-4-reasoning	microsoft/Phi-4-reasoning
microsoft/Phi-4-reasoning	mistralai/Magistral-Small-2506
microsoft/Phi-4-reasoning	nvidia/Llama-3.1-Nemotron-Nano-8B-v1
